TableName,TableDescription,ColumnName,ColumnDescription,ColumnType,SampleValues,DescriptionSource,TableDescriptionStatus,ColumnDescriptionStatus,ColumnTypeStatus,SampleValuesStatus
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",contract_award_unique_key,"Derived unique record key used by the Broker to identify the prime award. Note that this element is different from the AssistanceTransactionUniqueKey and the ContractTransactionUniqueKey in that it identifies the award, not a specific transaction within the award. For contract records, this element is a concatenation of PIID, agencyID, ParentAwardId, and Referenced IDV Agency Identifier. For financial assistance records, this element is a concatenation of FAIN, URI, and AwardingSubTierAgencyCode. In both cases a single underscore ('_') character is inserted in between each element value. And in both cases if an element value is blank then the values used is ""NONE"".",,,USAspending data dictionary API; element PrimeAwardUniqueKey,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",prime_award_base_transaction_description,"For procurement awards: Per the FPDS data dictionary, a brief, summary level, plain English, description of the contract, award, or modification. Additional information: the description field may also include abbreviations, acronyms, or other information that is not plain English such as that required by OMB policies (CARES Act, etc).

For financial assistance awards: A plain language description of the Federal award purpose; activities to be performed; deliverables and expected outcomes; intended beneficiary(ies); and subrecipient activities if known/specified at the time of award.",,,USAspending data dictionary API; element AwardDescription,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",action_date,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,,,USAspending data dictionary API; element ActionDate,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",award_latest_action_date,Represents the award latest action date.,,,USAspending data dictionary API; element AwardLatestActionDate,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",period_of_performance_start_date,"For procurement awards: Per the FPDS data dictionary, the date that the parties agree will be the starting date for the contract's requirements. This is the period of performance start date for the entire contract period, this date does not reflect period of performance per modification, but rather the start of the entire contract period of performance. This data element does NOT correspond to FAR 43.101 or 52.243 and should not be mapped to those fields in your contract writing systems. 

For grants and cooperative agreements: The Period of Performance is defined in the 2 CFR 200 as the total estimated time interval between the start of an initial Federal award and the planned end date, which may include one or more funded portions, or budget periods.

For all other financial assistance awards: The date on which, for the award referred to by the action being reported, awardee effort begins or the award is otherwise effective.",,,USAspending data dictionary API; element PeriodOfPerformanceStartDate,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",period_of_performance_current_end_date,"For procurement awards: The contract completion date based on the schedule in the contract. For an initial award, this is the scheduled completion date for the base contract and for any options exercised at time of award. For modifications that exercise options or that shorten (such as termination) or extend the contract period of performance, this is the revised scheduled completion date for the base contract including exercised options. If the award is solely for the purchase of supplies to be delivered, the completion date should correspond to the latest delivery date on the base contract and any exercised options. The completion date does not change to reflect a closeout date. 

For grants and cooperative agreements: The Period of Performance is defined in the CFR 200 as the total estimated time interval between the start of an initial Federal award and the planned end date, which may include one or more funded portions, or budget periods. If the end date is revised due to an extension, termination, lack of available funds, or other reason, the current end date will be amended.

For all other financial assistance awards: The current date on which, for the award referred to by the action being reported, awardee effort completes or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date.",,,USAspending data dictionary API; element PeriodOfPerformanceCurrentEndDate,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",period_of_performance_potential_end_date,"For procurement, the date on which, for the award referred to by the action being reported if all potential pre-determined or pre-negotiated options were exercised, awardee effort is completed or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.",,,USAspending data dictionary API; element PeriodOfPerformancePotentialEndDate,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",current_total_value_of_award,"For procurement, the total amount obligated to date on a contract, including the base and exercised options.",,,USAspending data dictionary API; element CurrentTotalValueOfAward,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",potential_total_value_of_award,"For procurement, the total amount that could be obligated on a contract, if the base and all options are exercised.",,,USAspending data dictionary API; element PotentialTotalValueOfAward,manually_written,source_provided,missing,missing
ContractAward,"Identifiers, descriptions, dates, periods, and monetary totals for a USAspending Department of Defense prime contract award.",total_obligated_amount,"This is a system generated element providing the sum of all the amounts entered in the ""Action Obligation"" field for a particular PIID and Agency. Example: Contract has 9 Modifications under ""Transaction Number"" as '1' and 9 modifications with the same PIID under ""Transaction Number"" as '2'. The base contracts and all the modifications have ""Action Obligation"" as $10 each. The value for the field ""Total Obligated Amount"" when the either of the bases or the modification is retrieved through atom feeds will be $200 ($100 under Transaction Number 1 + $100 under Transaction Number 2). ""Total Obligated Amount"" is generated irrespective of the ""Transaction Number"" on the Awards.",,,USAspending data dictionary API; element TotalDollarsObligated,manually_written,source_provided,missing,missing
