ObjectType,ObjectTypeDescription,PropertyName,PropertyDescription,PropertyType,DefinitionSource,DefinitionStatus
Release,"Each release provides data about a single contracting process at a particular point in time. Releases can be used to notify users of new tenders, awards, contracts and other updates. Releases may repeat or update information provided previously in this contracting process. One contracting process may have many releases. A 'record' of a contracting process follows the same structure as a release, but combines information from multiple points in time into a single summary.",ocid,A globally unique identifier for this Open Contracting Process. Composed of an ocid prefix and an identifier for the contracting process. For more information see the [Open Contracting Identifier guidance](https://standard.open-contracting.org/1.1/en/schema/identifiers/),string,OCDS 1.1.5 canonical release schema; Release.ocid,source_provided
Release,"Each release provides data about a single contracting process at a particular point in time. Releases can be used to notify users of new tenders, awards, contracts and other updates. Releases may repeat or update information provided previously in this contracting process. One contracting process may have many releases. A 'record' of a contracting process follows the same structure as a release, but combines information from multiple points in time into a single summary.",id,An identifier for this particular release of information. A release identifier must be unique within the scope of its related contracting process (defined by a common ocid). A release identifier must not contain the # character.,string,OCDS 1.1.5 canonical release schema; Release.id,source_provided
Release,"Each release provides data about a single contracting process at a particular point in time. Releases can be used to notify users of new tenders, awards, contracts and other updates. Releases may repeat or update information provided previously in this contracting process. One contracting process may have many releases. A 'record' of a contracting process follows the same structure as a release, but combines information from multiple points in time into a single summary.",date,"The date on which the information contained in the release was first recorded in, or published by, any system.",string,OCDS 1.1.5 canonical release schema; Release.date,source_provided
Release,"Each release provides data about a single contracting process at a particular point in time. Releases can be used to notify users of new tenders, awards, contracts and other updates. Releases may repeat or update information provided previously in this contracting process. One contracting process may have many releases. A 'record' of a contracting process follows the same structure as a release, but combines information from multiple points in time into a single summary.",tag,One or more values from the closed [releaseTag](https://standard.open-contracting.org/1.1/en/schema/codelists/#release-tag) codelist. Tags can be used to filter releases and to understand the kind of information that releases might contain.,array,OCDS 1.1.5 canonical release schema; Release.tag,source_provided
Release,"Each release provides data about a single contracting process at a particular point in time. Releases can be used to notify users of new tenders, awards, contracts and other updates. Releases may repeat or update information provided previously in this contracting process. One contracting process may have many releases. A 'record' of a contracting process follows the same structure as a release, but combines information from multiple points in time into a single summary.",initiationType,"The type of initiation process used for this contract, from the closed [initiationType](https://standard.open-contracting.org/1.1/en/schema/codelists/#initiation-type) codelist.",string,OCDS 1.1.5 canonical release schema; Release.initiationType,source_provided
Release,"Each release provides data about a single contracting process at a particular point in time. Releases can be used to notify users of new tenders, awards, contracts and other updates. Releases may repeat or update information provided previously in this contracting process. One contracting process may have many releases. A 'record' of a contracting process follows the same structure as a release, but combines information from multiple points in time into a single summary.",language,"The default language of the data using either two-letter [ISO639-1](https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes), or extended [BCP47 language tags](http://www.w3.org/International/articles/language-tags/). The use of lowercase two-letter codes from [ISO639-1](https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes) is recommended.",string|null,OCDS 1.1.5 canonical release schema; Release.language,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,id,"An identifier for this tender process. This may be the same as the ocid, or may be an internal identifier for this tender.",string|integer,OCDS 1.1.5 canonical release schema; Tender.id,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,title,"A title for this tender. This will often be used by applications as a headline to attract interest, and to help analysts understand the nature of this procurement.",string|null,OCDS 1.1.5 canonical release schema; Tender.title,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,description,A summary description of the tender. This complements any structured information provided using the items array. Descriptions should be short and easy to read. Avoid using ALL CAPS.,string|null,OCDS 1.1.5 canonical release schema; Tender.description,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,status,"The current status of the tender, from the closed [tenderStatus](https://standard.open-contracting.org/1.1/en/schema/codelists/#tender-status) codelist.",string|null,OCDS 1.1.5 canonical release schema; Tender.status,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,procuringEntity.id,The id of the party being referenced. This must match the id of an entry in the parties section.,string|integer,OCDS 1.1.5 canonical release schema; Tender.procuringEntity.id,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,procuringEntity.name,The name of the party being referenced. This must match the name of an entry in the parties section.,string|null,OCDS 1.1.5 canonical release schema; Tender.procuringEntity.name,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,value.amount,Amount as a number.,number|null,OCDS 1.1.5 canonical release schema; Tender.value.amount,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,value.currency,"The currency of the amount, from the closed [currency](https://standard.open-contracting.org/1.1/en/schema/codelists/#currency) codelist.",string|null,OCDS 1.1.5 canonical release schema; Tender.value.currency,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,minValue.amount,Amount as a number.,number|null,OCDS 1.1.5 canonical release schema; Tender.minValue.amount,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,minValue.currency,"The currency of the amount, from the closed [currency](https://standard.open-contracting.org/1.1/en/schema/codelists/#currency) codelist.",string|null,OCDS 1.1.5 canonical release schema; Tender.minValue.currency,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,procurementMethod,"The procurement method, from the closed [method](https://standard.open-contracting.org/1.1/en/schema/codelists/#method) codelist.",string|null,OCDS 1.1.5 canonical release schema; Tender.procurementMethod,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,procurementMethodDetails,Additional detail on the procurement method used. This field can be used to provide the local name of the particular procurement method used.,string|null,OCDS 1.1.5 canonical release schema; Tender.procurementMethodDetails,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,procurementMethodRationale,Rationale for the chosen procurement method. This is especially important to provide a justification in the case of limited tenders or direct awards.,string|null,OCDS 1.1.5 canonical release schema; Tender.procurementMethodRationale,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,mainProcurementCategory,"The primary category describing the main object of this contracting process, from the closed [procurementCategory](https://standard.open-contracting.org/1.1/en/schema/codelists/#procurement-category) codelist.",string|null,OCDS 1.1.5 canonical release schema; Tender.mainProcurementCategory,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,additionalProcurementCategories,"Any additional categories describing the objects of this contracting process, using the open [extendedProcurementCategory](https://standard.open-contracting.org/1.1/en/schema/codelists/#extended-procurement-category) codelist.",array|null,OCDS 1.1.5 canonical release schema; Tender.additionalProcurementCategories,source_provided
Tender,Data regarding tender process - publicly inviting prospective contractors to submit bids for evaluation and selecting a winner or winners.,awardCriteria,"The award criteria for the procurement, using the open [awardCriteria](https://standard.open-contracting.org/1.1/en/schema/codelists/#award-criteria) codelist.",string|null,OCDS 1.1.5 canonical release schema; Tender.awardCriteria,source_provided
